Posted_On,Bedrooms,Rent,Size,Floor,Total_floor,Area_type,Area_locality,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_of_Contact
2022-05-10,1,333.33,330,4,8,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,416.67,400,0,7,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-27,3,1833.33,1200,6,15,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-28,2,491.67,700,2,7,Carpet Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-09,3,883.33,1000,16,32,Carpet Area,"Mahindra Splendour, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-12,2,1416.67,750,11,27,Carpet Area,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-12,1,433.33,450,6,10,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-04-29,1,550,640,11,23,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-07-08,3,3000,1190,5,12,Carpet Area,"L Nagpal Ruby, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-23,3,1166.67,850,5,8,Super Area,Chembur,Mumbai,Unfurnished,Bachelors,3,Contact Agent
2022-07-07,1,283.33,330,1,7,Carpet Area,Jankalyan Nagar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-13,2,616.67,685,10,18,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-12,1,450,400,6,10,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-15,1,591.67,500,8,13,Carpet Area,"Mayfair Sonata Greens, Park Site Colony",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-05-24,1,400,550,2,4,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-06-11,4,4166.67,2500,2,8,Carpet Area,Juhu,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
2022-05-14,3,3000,1100,6,15,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,3,Contact Agent
2022-05-31,2,308.33,650,3,12,Carpet Area,"Swayam Apartment, Poonam Gardens",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-09,3,3333.33,1400,8,17,Carpet Area,"Hill Road, Bandra West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-07-04,2,1166.67,1050,14,15,Carpet Area,"Godrej Prime, Chembur",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,3,916.67,850,6,7,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent
2022-05-23,1,400,550,1,4,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-06-23,2,916.67,750,5,8,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,3,2500,1350,23,25,Carpet Area,"Kalpataru Antariksha, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-25,2,833.33,800,5,8,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,4,5000,2650,14,48,Carpet Area,"Lodha Bellissimo, Mahalakshmi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-06,3,1501.67,975,29,35,Carpet Area,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-16,3,950,1325,15,36,Carpet Area,"Raheja Exotica Sorento, Madh",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-04-29,2,666.67,700,3,6,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-09,2,1333.33,700,3,8,Carpet Area,Hindu Colony,Mumbai,Furnished,Family,2,Contact Agent
2022-06-23,2,1583.33,850,15,25,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-22,1,233.33,305,10,24,Carpet Area,Ekta Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-06-14,2,833.33,850,8,10,Carpet Area,"Dsk Madhuban, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-14,2,716.67,724,6,11,Carpet Area,"Akruti Orchid Park, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-12,2,916.67,650,8,16,Carpet Area,Andheri West,Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-16,2,583.33,650,5,7,Carpet Area,Nahur Gaothan,Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-15,2,550,700,15,28,Carpet Area,"Acme Avenue, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-05-26,2,783.33,785,4,7,Carpet Area,JB Nagar,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-27,3,1250,1250,15,20,Carpet Area,"Laksharia Tower, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-07-07,4,750,1016,3,36,Carpet Area,"Oasis, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-28,1,600,380,12,20,Carpet Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-14,1,666.67,475,18,23,Carpet Area,"Sanghvi Evana, Worli",Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-07-03,1,666.67,444,8,11,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-20,2,533.33,640,6,20,Carpet Area,"GSA Grandeur, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-02,1,283.33,320,23,23,Carpet Area,"Midas PMGP Mhada Colony, PMGP Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-13,3,1283.33,1100,16,21,Carpet Area,"Auris Serenity, Adarsh Nagar",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
2022-06-16,4,4833.33,1500,5,15,Carpet Area,"Benchmark Solus, Waterfield Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-05-18,2,583.33,650,6,8,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-19,1,666.67,508,16,18,Carpet Area,"Kanakia Sevens, Marol Maroshi Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,4,4166.67,2500,2,10,Carpet Area,JVPD Scheme,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-05-22,2,783.33,720,0,16,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-04-29,2,833.33,750,1,5,Super Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-27,1,533.33,430,2,3,Carpet Area,"Sion East, Sion Koliwada",Mumbai,Unfurnished,Family,1,Contact Agent
2022-06-20,2,133.33,623,6,7,Carpet Area,"Shreenath nagar, Morya Nagar",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-09,3,4000,1358,40,50,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent
2022-07-07,3,1416.67,1000,4,11,Carpet Area,"Lodha Eternis, Chakala MIDC",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-28,3,1083.33,1100,25,28,Carpet Area,"Sejal Tower, Goregaon West",Mumbai,Unfurnished,Bachelors,3,Contact Agent
2022-07-03,3,1250,1255,12,17,Carpet Area,Bhakti Park,Mumbai,Furnished,Bachelors/Family,3,Contact Owner
2022-05-27,1,441.67,450,5,8,Carpet Area,"Vasant Sagar, Thakur Village, Kandivali East",Mumbai,Furnished,Family,2,Contact Agent
2022-06-16,2,750,650,3,7,Carpet Area,"Akruti Aneri, Marol",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,2,1583.33,955,34,40,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-22,2,633.33,700,0,22,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-06,3,4333.33,1915,8,23,Super Area,"Ashford Casa Grande, Lower Parel",Mumbai,Semi-Furnished,Family,4,Contact Agent
2022-06-03,4,5000,2308,9,31,Carpet Area,"Windsor Grande Residences, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2022-07-09,3,3000,1250,11,13,Carpet Area,"Ekta Trinity, Santacruz West",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-06-04,2,666.67,625,6,14,Carpet Area,"Kailash Tower, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-17,4,5000,2200,7,8,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,4,Contact Agent
2022-06-20,2,1416.67,870,5,21,Carpet Area,"Royal Residency, Lal Baug",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,3,1833.33,1300,4,12,Carpet Area,Kalina,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-23,2,666.67,750,2,8,Carpet Area,"Techno Park I, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-06,2,750,750,2,8,Super Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner
2022-06-04,2,866.67,550,3,9,Carpet Area,Kalina,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,4,1500,1250,2,7,Carpet Area,Andheri West,Mumbai,Furnished,Family,4,Contact Agent
2022-07-09,3,2333.33,1400,11,13,Carpet Area,"Insignia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-06-23,3,2500,1330,32,59,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Family,4,Contact Agent
2022-06-23,3,1083.33,1000,5,10,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-31,2,833.33,770,4,14,Carpet Area,"Sufalam CHS, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-16,2,900,800,3,7,Carpet Area,"Shimpla Vighnaharta CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-29,4,3000,1691,20,32,Carpet Area,"Oberoi Prisma, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2022-05-14,1,1000,550,12,20,Carpet Area,"Neumec Elegance, Lower Parel",Mumbai,Furnished,Bachelors,2,Contact Agent
2022-07-09,2,1083.33,800,10,14,Carpet Area,Andheri West,Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-09,2,583.33,615,6,14,Carpet Area,"Aspire, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-25,2,716.67,663,25,43,Carpet Area,"Wadhwa Atmosphere, Mulund West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-16,1,333.33,400,3,4,Carpet Area,Bhandup,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-04,2,950,625,9,18,Carpet Area,"Panch Complex, Powai",Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-16,4,2166.67,1432,12,20,Carpet Area,"Sabari Ashville, Chembur East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-24,1,416.67,425,3,5,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-06-12,2,933.33,649,5,22,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-14,2,916.67,905,10,37,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-04-27,2,300,882,10,22,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-06-27,3,1666.67,1200,4,15,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-05-31,2,1266.67,736,16,36,Carpet Area,"Rustomjee Elanza, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-09,3,4500,1710,25,48,Carpet Area,"Lodha Bellissimo, Mahalakshmi",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-24,1,750,225,3,6,Carpet Area,"simla house at nepeasea road, Napean Sea Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner
2022-05-22,2,650,720,0,22,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-07,1,208.33,555,6,7,Super Area,"Hubtown Gardenia, Mira Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner
2022-07-07,1,583.33,415,2,7,Super Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-12,2,916.67,649,4,22,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-15,3,1500,1000,3,3,Carpet Area,Vile Parle West,Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-04,2,4166.67,1300,0,10,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-24,2,416.67,1065,15,15,Super Area,"Gaurav Excellency, Mira Road",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-07-08,2,1500,854,15,20,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-27,3,2000,1200,5,14,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-06,1,916.67,500,8,18,Carpet Area,Hiranandani Gardens,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-31,3,1166.67,906,7,10,Carpet Area,"Sanjona Gulmarg Towers, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-22,3,5000,1800,11,11,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-05-26,2,416.67,500,1,3,Carpet Area,New Devchhaya Building,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-06-16,1,583.33,450,2,7,Super Area,Goregaon West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-09,3,2000,1130,3,7,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-04,1,450,495,5,7,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-19,1,416.67,407,5,23,Super Area,Devi Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,3,2500,1092,60,77,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-07-07,2,533.33,610,11,18,Carpet Area,"The Windsor, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-07,1,666.67,500,13,14,Super Area,"Manavsthal, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-31,2,866.67,750,4,20,Carpet Area,"vanamali chs ghatla, Ghatla",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-18,2,1333.33,750,6,16,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-23,2,916.67,850,6,10,Carpet Area,"Adityavardhan Apartment, Raheja Vihar",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,1,500,350,5,16,Carpet Area,Prabhadevi,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-06-04,1,333.33,300,2,12,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-23,1,1416.67,695,2,7,Carpet Area,Union Park,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-16,1,666.67,415,15,22,Carpet Area,"Kanakia Rainforest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-25,1,350,450,3,13,Carpet Area,Bhandup Village,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-23,3,716.67,850,8,14,Carpet Area,"Aspire, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent
2022-05-11,2,966.67,805,30,58,Carpet Area,"Auris Serenity, Link Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-06,2,2166.67,700,7,10,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-04-13,3,4333.33,1800,10,11,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,4,Contact Agent
2022-06-27,2,766.67,669,15,43,Carpet Area,"Tulip at Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-23,1,108.33,325,7,16,Carpet Area,"Unicorn Global Arena, Naigaon East",Mumbai,Unfurnished,Family,1,Contact Agent
2022-05-31,1,350,600,5,6,Super Area,Sher E Punjab Society,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-22,2,766.67,725,0,16,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-03,2,1000,750,5,9,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-29,3,1083.33,1050,13,21,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-19,2,250,600,18,28,Carpet Area,Shilphata,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-28,2,2166.67,1000,10,13,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-04,3,1500,1110,9,55,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-07-09,2,1033.33,650,11,25,Carpet Area,Jacob Circle,Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-08,3,2666.67,1100,8,10,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-23,3,1333.33,1100,15,28,Carpet Area,"Godrej Central, Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-07-04,3,1333.33,1110,49,55,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-28,3,916.67,999,14,23,Carpet Area,"Orchid Residency, Link Road",Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-22,3,1666.67,1000,2,4,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-07-09,4,3333.33,2200,11,20,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-06-02,3,1666.67,1256,10,22,Carpet Area,"Satyam Springs, Deonar",Mumbai,Furnished,Family,3,Contact Agent
2022-07-06,2,1325,750,17,20,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-07-06,3,1408.33,889,7,27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-12,2,1666.67,750,14,27,Carpet Area,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-17,1,216.67,385,6,20,Carpet Area,"Aims Sea View, Indralok",Mumbai,Unfurnished,Family,1,Contact Agent
2022-06-16,4,1666.67,1454,5,7,Carpet Area,"diamond garden, Chembur East",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
2022-07-06,1,583.33,480,1,7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-05-23,2,1200,660,12,22,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-22,3,3000,1600,9,16,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-07-06,1,433.33,434,5,22,Carpet Area,"Samarth Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-31,3,1200,1121,7,14,Carpet Area,"Hari Kunj II, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-28,1,133.33,620,6,8,Super Area,Virar,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-07,3,2166.67,937,16,27,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,2,Contact Agent
2022-06-12,1,866.67,470,6,7,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-12,1,216.67,410,2,7,Carpet Area,Mira Road East,Mumbai,Unfurnished,Family,1,Contact Agent
2022-06-16,3,750,850,5,7,Carpet Area,Mulund West,Mumbai,Unfurnished,Family,3,Contact Agent
2022-07-09,3,3000,1500,15,20,Carpet Area,"Purushottam Towers, Dadar West",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-07-09,2,1050,888,12,20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-28,1,125,380,3,7,Carpet Area,sunanda circal,Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-07-06,1,500,360,4,20,Carpet Area,"Antop Hill, Wadala",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-07,1,475,565,1,8,Super Area,Kandivali East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-07-07,3,1666.67,2000,25,50,Super Area,"Auris Serenity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-06-23,4,4500,1358,25,50,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent
2022-07-09,2,633.33,661,17,36,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,1,433.33,450,9,20,Carpet Area,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-14,3,1166.67,1300,6,30,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent
2022-06-04,2,683.33,600,4,8,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2,Contact Agent
2022-04-27,2,450,900,1,4,Super Area,Mahatama Gandhi Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-06-30,1,883.33,379,21,23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-18,2,1083.33,805,8,58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-05-14,1,1416.67,650,3,8,Super Area,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-04-28,1,100,500,8,10,Super Area,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-20,1,716.67,480,5,7,Carpet Area,Seven Bungalows,Mumbai,Furnished,Family,2,Contact Agent
2022-06-23,2,1083.33,550,1,7,Super Area,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,3,4666.67,1600,5,12,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-28,3,1633.33,1400,4,15,Carpet Area,"Hubtown Sunmist, Chakala",Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-15,3,5500,1500,20,41,Carpet Area,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,3,1083.33,1050,3,62,Carpet Area,"Alpine, Kandivali East",Mumbai,Unfurnished,Bachelors,3,Contact Agent
2022-07-06,3,1416.67,920,4,13,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Family,3,Contact Agent
2022-07-07,1,666.67,450,8,13,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-07-07,1,383.33,440,1,4,Carpet Area,in Kandivali West,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-10,3,916.67,932,3,8,Super Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Owner
2022-04-27,1,250,270,15,15,Carpet Area,chakala andheri east,Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-06-30,1,866.67,379,23,23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-26,2,216.67,582,5,8,Carpet Area,Lodha casa rio,Mumbai,Furnished,Family,2,Contact Owner
2022-06-28,2,1583.33,800,6,8,Carpet Area,"Pali Hill Apartment, Pali Hill",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,1,416.67,444,7,17,Carpet Area,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-04,1,350,428,12,21,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-06-27,5,6000,1880,11,27,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,4,Contact Agent
2022-07-06,2,1000,888,5,20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-31,1,316.67,490,1,8,Super Area,Bhandup East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-16,3,2333.33,937,28,39,Carpet Area,"Sheth Beaumonte, Sion Koliwada",Mumbai,Unfurnished,Family,4,Contact Agent
2022-05-13,2,500,710,12,21,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-18,4,2166.67,1617,15,58,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-24,2,1333.33,836,6,23,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-06,2,1416.67,1200,36,45,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-07,2,1083.33,950,9,28,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,1,550,460,10,25,Carpet Area,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,1,600,585,10,14,Super Area,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
